Frame,RX,RY,RZ,TX,TY,TZ
295,0.870709,0.021035,0.034963,23.784357,122.244904,273.959381
296,0.870369,0.022135,0.035989,23.834023,122.32019,273.987762
297,0.87078,0.021874,0.035298,23.797682,122.297653,273.982819
298,0.87031,0.021238,0.035177,23.789644,122.323387,274.026031
299,0.869888,0.022319,0.035757,23.817602,122.286125,274.052338
300,0.870077,0.021979,0.035768,23.825871,122.273155,274.021881
301,0.870496,0.021598,0.035342,23.791719,122.296349,273.972229
302,0.870642,0.020812,0.034538,23.749037,122.310226,273.969757
303,0.870609,0.021966,0.035263,23.78269,122.250298,273.96051
304,0.871236,0.022143,0.035146,23.761797,122.31926,273.892731
305,0.870365,0.021827,0.035209,23.788458,122.281021,273.961395
306,0.870667,0.02133,0.034882,23.777655,122.267746,273.916534
307,0.870886,0.021406,0.034877,23.753281,122.287445,273.89682
308,0.870683,0.020671,0.034824,23.752731,122.291855,273.947052
309,0.870825,0.020765,0.03466,23.771379,122.255913,273.969421
310,0.871258,0.021335,0.035026,23.76071,122.242821,273.920166
311,0.870655,0.022074,0.035813,23.821043,122.22596,273.985046
312,0.870377,0.021545,0.035383,23.816696,122.263329,274.016998
313,0.871046,0.021888,0.035765,23.844255,122.241486,273.941254
314,0.871151,0.021168,0.035088,23.787693,122.304161,273.91864
315,0.8707,0.022459,0.035798,23.818575,122.300652,273.927795
316,0.870812,0.022308,0.03545,23.765255,122.305908,273.950378
317,0.870245,0.022674,0.035966,23.824823,122.299156,273.97937
318,0.870473,0.022567,0.035913,23.804071,122.350853,273.956635
319,0.870658,0.021736,0.035499,23.812344,122.30117,273.941406
320,0.870954,0.022455,0.03559,23.785004,122.279617,273.925568
321,0.871228,0.021274,0.034599,23.73271,122.250656,273.923096
322,0.870626,0.021108,0.034745,23.761341,122.215004,273.967102
323,0.870766,0.022231,0.035455,23.77216,122.265564,273.96228
324,0.870072,0.020698,0.034715,23.783258,122.248062,274.00885
325,0.870341,0.021995,0.035498,23.797482,122.264809,273.973175
326,0.870247,0.021068,0.035197,23.813341,122.30558,273.982269
327,0.870704,0.021502,0.035014,23.795366,122.245186,273.962402
328,0.870694,0.022397,0.035992,23.823475,122.310219,273.957642
329,0.870553,0.021936,0.035569,23.82221,122.300514,273.983215
330,0.870302,0.021652,0.035376,23.788057,122.339027,274.012268
331,0.87115,0.021974,0.035257,23.782471,122.288567,273.941223
332,0.870728,0.022775,0.036125,23.818253,122.28614,273.982971
333,0.870469,0.021384,0.034928,23.755167,122.23613,273.978943
334,0.870891,0.020687,0.03437,23.752041,122.239525,273.966522
335,0.870359,0.022576,0.036385,23.838634,122.263885,273.956024
336,0.870575,0.021529,0.035543,23.826145,122.226921,273.965698
337,0.871049,0.022514,0.035687,23.809383,122.193314,273.958435
338,0.870751,0.022111,0.035746,23.804506,122.282639,273.939423
339,0.871327,0.021487,0.035036,23.782,122.286453,273.927856
340,0.8707,0.021251,0.03472,23.758657,122.297379,273.950409
341,0.870528,0.021998,0.035609,23.839659,122.320969,273.959198
342,0.871077,0.021785,0.03533,23.818293,122.354118,273.934021
343,0.870722,0.021401,0.034898,23.774677,122.283104,273.984406
344,0.870606,0.021165,0.034542,23.762238,122.293671,273.963684
345,0.870194,0.022116,0.035738,23.801111,122.282509,273.97525
346,0.8707,0.02253,0.035679,23.814722,122.253853,273.977692
347,0.869876,0.022445,0.035977,23.810629,122.281342,274.01944
348,0.870231,0.022309,0.036128,23.863192,122.23188,274.005402
349,0.870562,0.021265,0.034816,23.784512,122.185219,273.973267
350,0.87051,0.021289,0.034621,23.727587,122.278122,273.930573
351,0.870545,0.022576,0.035567,23.776705,122.337402,273.920258
352,0.87057,0.020729,0.034744,23.774893,122.246452,273.92627
353,0.871009,0.021743,0.035181,23.775747,122.269806,273.922424
354,0.870947,0.022153,0.035664,23.820509,122.306984,273.916199
355,0.870764,0.021944,0.035836,23.83123,122.322708,273.975403
356,0.871148,0.021378,0.035067,23.792553,122.317657,273.958099
